drug_name,side_effects,generic_name,drug_classes,brand_names
adapalene,"hives , itching; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. adapalene topical may cause serious side effects. Stop using adapalene topical and call your doctor at once if you have: skin redness, stinging, burning, or peeling after sun exposure. Some side effects may occur during the first 4 weeks of using this medicine. These side effects should become less noticeable with continued use. Common side effects of adapalene topical may include: dry, red, or scaly skin; feeling of warmth and mild stinging or burning; peeling skin ; or skin pain.",adapalene topical,Topical acne agents,Differin
cephalexin,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. Common cephalexin side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge.",cephalexin,First generation cephalosporins,"Keflex, Biocef"
tetracycline,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe blistering, peeling, and red skin rash; fever, chills, body aches, flu symptoms; pale or yellowed skin, easy bruising or bleeding; any signs of a new infection. Common tetracycline side effects may include: nausea, vomiting, diarrhea, upset stomach, loss of appetite; white patches or sores inside your mouth or on your lips; swollen tongue, black or ""hairy"" tongue, trouble swallowing; sores or swelling in your rectal or genital area; or vaginal itching or discharge.",tetracycline,Tetracyclines,"Ala-Tet, Brodspec, Panmycin, Sumycin, Tetracap, Tetracon, Robitet 500, Emtet-500"
Septra,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); a skin rash, no matter how mild; yellowing of your skin or eyes; a seizure; new or unusual joint pain; increased or decreased urination; swelling, bruising, or irritation around the IV needle; increased thirst, dry mouth, fruity breath odor; new or worsening cough, fever, trouble breathing; high potassium level - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low sodium level - headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; or low blood cell counts - fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common Septra side effects may include: nausea , vomiting, loss of appetite; or skin rash.",sulfamethoxazole and trimethoprim (oral),Sulfonamides,Septra DS
Acticlate,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Chest pain or pressure or a fast heartbeat . Not able to pass urine or change in how much urine is passed. Fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. Throat irritation. Trouble swallowing. Muscle or joint pain. Fast breathing. Flushing. Very bad dizziness or passing out. Change in skin color. Swollen gland. Vaginal itching or discharge. Diarrhea is common with antibiotics . Rarely, a severe form called C diff–associated diarrhea ( CDAD ) may happen. Sometimes, this has led to a deadly bowel problem ( colitis ). CDAD may happen during or a few months after taking antibiotics. Call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. Check with your doctor before treating diarrhea. Raised pressure in the brain has happened with Acticlate (doxycycline tablets and capsules). Most of the time, this will go back to normal after Acticlate (doxycycline tablets and capsules) is stopped. Sometimes, loss of eyesight may happen and may not go away even after Acticlate (doxycycline tablets and capsules) is stopped. Call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. Acticlate side effects",Doxycycline Tablets and Capsules,Tetracyclines,"Adoxa, Avidoxy, Monodox, Morgidox, Oraxyl, TargaDOX, Vibramycin"
benzoyl peroxide / clindamycin,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using benzoyl peroxide and clindamycin topical and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe redness, burning, stinging, or peeling of treated skin areas; or diarrhea that is watery or bloody. Common side effects of benzoyl peroxide and clindamycin topical may include: mild burning or stinging; itching or tingly feeling; dryness or peeling of treated skin; or redness or other irritation.",benzoyl peroxide and clindamycin topical,Topical acne agents,"Acanya, BenzaClin, Duac, Neuac, Onexton, Z-Clinz 10, Z-Clinz 5, BenzaClin with pump, Duac Care System"
sulfamethoxazole / trimethoprim,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Sulfamethoxazole and trimethoprim may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); any skin rash, no matter how mild; yellowing of your skin or eyes; a seizure; new or unusual joint pain; increased or decreased urination; swelling, bruising, or irritation around the IV needle; increased thirst, dry mouth, fruity breath odor; new or worsening cough, fever, trouble breathing; high blood potassium-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low blood sodium-- headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or low blood cell counts--fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of sulfamethoxazole and trimethoprim may include: nausea, vomiting, loss of appetite; or skin rash.",sulfamethoxazole and trimethoprim (oral/injection),Sulfonamides,"Bactrim, Bactrim DS, Sulfatrim Pediatric, Septra, Sulfatrim, Bethaprim, Cotrim, Uroplus, Uroplus DS, Cotrim DS, Septra I.V., Bactrim I.V., Bactrim Pediatric, Bethaprim Pediatric, Sulfatrim Suspension, Cotrim Pediatric, Septra DS"
Benzaclin,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have any of these serious side effects: severe redness, burning, stinging, or peeling of treated skin areas; or diarrhea that is watery or bloody. Less serious Benzaclin side effects may include: mild burning or stinging; itching or tingly feeling; dryness or peeling of treated skin; or redness or other irritation.",benzoyl peroxide and clindamycin topical,Topical acne agents,"Acanya, Duac, Z-Clinz 10, Z-Clinz 5"
Adoxa,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Chest pain or pressure or a fast heartbeat . Not able to pass urine or change in how much urine is passed. Fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. Throat irritation. Trouble swallowing. Muscle or joint pain. Fast breathing. Flushing. Very bad dizziness or passing out. Change in skin color. Swollen gland. Vaginal itching or discharge. Diarrhea is common with antibiotics . Rarely, a severe form called C diff–associated diarrhea ( CDAD ) may happen. Sometimes, this has led to a deadly bowel problem ( colitis ). CDAD may happen during or a few months after taking antibiotics. Call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. Check with your doctor before treating diarrhea. Raised pressure in the brain has happened with Adoxa (doxycycline tablets and capsules). Most of the time, this will go back to normal after Adoxa (doxycycline tablets and capsules) is stopped. Sometimes, loss of eyesight may happen and may not go away even after Adoxa (doxycycline tablets and capsules) is stopped. Call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. Adoxa side effects",Doxycycline Tablets and Capsules,"Miscellaneous antimalarials, Tetracyclines","Acticlate, Avidoxy, Monodox, Morgidox, Oraxyl, TargaDOX, Vibramycin"
Avidoxy,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Chest pain or pressure or a fast heartbeat . Not able to pass urine or change in how much urine is passed. Fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. Throat irritation. Trouble swallowing. Muscle or joint pain. Fast breathing. Flushing. Very bad dizziness or passing out. Change in skin color. Swollen gland. Vaginal itching or discharge. Diarrhea is common with antibiotics . Rarely, a severe form called C diff–associated diarrhea ( CDAD ) may happen. Sometimes, this has led to a deadly bowel problem ( colitis ). CDAD may happen during or a few months after taking antibiotics. Call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. Check with your doctor before treating diarrhea. Raised pressure in the brain has happened with Avidoxy (doxycycline tablets and capsules). Most of the time, this will go back to normal after Avidoxy (doxycycline tablets and capsules) is stopped. Sometimes, loss of eyesight may happen and may not go away even after Avidoxy (doxycycline tablets and capsules) is stopped. Call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. Avidoxy side effects",Doxycycline Tablets and Capsules,"Miscellaneous antimalarials, Tetracyclines","Acticlate, Adoxa, Avidoxy, Monodox, Morgidox, Oraxyl, TargaDOX, Vibramycin"
Cleocin T,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Cleocin T may cause serious side effects. Stop using Cleocin T and call your doctor at once if you have: severe redness, itching, or dryness of treated skin areas; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of Cleocin T may include: burning, itching, dryness, peeling or redness of treated skin; or oily skin.",clindamycin topical,Topical acne agents,"Clindacin ETZ, Clindacin P, Clindagel, Evoclin"
Clindagel,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindagel may cause serious side effects. Stop using Clindagel and call your doctor at once if you have: severe redness, itching, or dryness of treated skin areas; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of Clindagel may include: burning, itching, dryness, peeling or redness of treated skin; or oily skin.",clindamycin topical,Topical acne agents,"Cleocin T, Clindacin ETZ, Clindacin P, Evoclin"
erythromycin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Erythromycin topical may cause serious side effects. Call your doctor at once if you have: severe burning, stinging, or redness; oozing or other signs of skin infection ; worsening of your skin condition; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of erythromycin topical may include: skin itching, redness, burning, or peeling; or dry or oily skin.",erythromycin topical,"Topical acne agents, Topical antibiotics","Emcin Clear, Erygel, Theramycin Z, A/T/S, Erycette, Staticin, Emgel, Akne-Mycin, T-Stat, Erythra-Derm, Eryderm, Erymax, Theramycin, E-Solve 2, Romycin, Ery-Sol, Ery Pads"
Morgidox,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Chest pain or pressure or a fast heartbeat . Not able to pass urine or change in how much urine is passed. Fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. Throat irritation. Trouble swallowing. Muscle or joint pain. Fast breathing. Flushing. Very bad dizziness or passing out. Change in skin color. Swollen gland. Vaginal itching or discharge. Diarrhea is common with antibiotics . Rarely, a severe form called C diff–associated diarrhea ( CDAD ) may happen. Sometimes, this has led to a deadly bowel problem ( colitis ). CDAD may happen during or a few months after taking antibiotics. Call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. Check with your doctor before treating diarrhea. Raised pressure in the brain has happened with Morgidox (doxycycline tablets and capsules). Most of the time, this will go back to normal after Morgidox (doxycycline tablets and capsules) is stopped. Sometimes, loss of eyesight may happen and may not go away even after Morgidox (doxycycline tablets and capsules) is stopped. Call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. Morgidox side effects",Doxycycline Tablets and Capsules,"Miscellaneous antimalarials, Tetracyclines","Acticlate, Adoxa, Avidoxy, Monodox, Morgidox, Oraxyl, TargaDOX, Vibramycin"
Oraxyl,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Chest pain or pressure or a fast heartbeat . Not able to pass urine or change in how much urine is passed. Fever, chills, or sore throat ; any unexplained bruising or bleeding; or feeling very tired or weak. Throat irritation. Trouble swallowing. Muscle or joint pain. Fast breathing. Flushing. Very bad dizziness or passing out. Change in skin color. Swollen gland. Vaginal itching or discharge. Diarrhea is common with antibiotics . Rarely, a severe form called C diff–associated diarrhea ( CDAD ) may happen. Sometimes, this has led to a deadly bowel problem ( colitis ). CDAD may happen during or a few months after taking antibiotics. Call your doctor right away if you have stomach pain, cramps, or very loose, watery, or bloody stools. Check with your doctor before treating diarrhea. Raised pressure in the brain has happened with Oraxyl (doxycycline tablets and capsules). Most of the time, this will go back to normal after Oraxyl (doxycycline tablets and capsules) is stopped. Sometimes, loss of eyesight may happen and may not go away even after Oraxyl (doxycycline tablets and capsules) is stopped. Call your doctor right away if you have a headache or eyesight problems like blurred eyesight, seeing double, or loss of eyesight. Oraxyl side effects",Doxycycline Tablets and Capsules,"Miscellaneous antimalarials, Tetracyclines","Acticlate, Adoxa, Avidoxy, Monodox, Morgidox, Oraxyl, TargaDOX, Vibramycin"
Claravis,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Claravis may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; or cold symptoms such as stuffy nose, sneezing, sore throat.",isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","Absorica, Accutane, Amnesteem, Myorisan, Sotret, Zenatane"
adapalene / benzoyl peroxide,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. Stop using this medicine and get emergency medical help if you have: hives , itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat. Adapalene and benzoyl peroxide may cause serious side effects. Call your doctor at once if you have: severe redness or swelling of treated skin; severe burning or stinging; or severe dryness or other skin irritation. Common side effects of adapalene and benzoyl peroxide may include: dry or scaly skin; skin redness; or burning or stinging.",adapalene and benzoyl peroxide (topical),Topical acne agents,"Epiduo, Epiduo Forte"
Clindacin ETZ,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindacin ETZ may cause serious side effects. Stop using Clindacin ETZ and call your doctor at once if you have: severe redness, itching, or dryness of treated skin areas; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of Clindacin ETZ may include: burning, itching, dryness, peeling or redness of treated skin; or oily skin.",clindamycin topical,Topical acne agents,"Cleocin T, Clindacin P, Clindagel, Evoclin"
Clindacin P,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindacin P may cause serious side effects. Stop using Clindacin P and call your doctor at once if you have: severe redness, itching, or dryness of treated skin areas; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of Clindacin P may include: burning, itching, dryness, peeling or redness of treated skin; or oily skin.",clindamycin topical,"Topical acne agents, Vaginal anti-infectives","Cleocin T, Clindacin ETZ, Clindagel, Evoclin"
Milk of Magnesia,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Milk of Magnesia may cause serious side effects. Stop using Milk of Magnesia and call your doctor at once if you have: severe nausea , vomiting , or diarrhea; no bowel movement after using the medicine as a laxative; rectal bleeding ; or worsening symptoms. Common side effects of Milk of Magnesia may include: diarrhea; or a decreased sense of taste.",magnesium hydroxide,"Antacids, Laxatives",Ex-Lax Milk of Magnesia
Ziana,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: severe redness, burning, stinging, or scaling of treated skin areas; or diarrhea that is watery or bloody. Common Ziana side effects may include: mild skin irritation, dryness or peeling; mild skin redness; or itching of treated skin.",clindamycin and tretinoin (topical),Topical acne agents,Veltin
